username,content,reply_time
Thelongworf,当年戴斯蒙死的时候刺客信条三的情况像，tlou2现在的情况吗？,2020-06-20 22:48
你奇淫我超荡,呆子蒙至少是为了拯救人类死的,2020-06-20 23:06
block_sheep,完全不一样，戴斯蒙拯救世界，因为阿萨辛和甜不辣浪费时间抢神器，导致时间不够才选择死，不是死的唐突毫无意义，选择自己和小队活着可能重蹈覆辙，自己死了拯救全人类还有反转的机会，而且不搞zzzq,2020-06-20 23:28
CX残翼,给主要角色发便当没什么问题，会被骂的一般是女人唱歌男人死这种情况。。。,2020-06-20 23:40
号信息g,参考海哥手撕a哥,2020-06-20 23:57
ADS_luy,剧情虽然唐突，但是是由于铺垫太少，剧情整体没有问题，讲了个好故事。历代的现代剧情处理的都不好，节奏都有问题（主线故事节奏也不好）,2020-06-21 01:10
唯妳所有,呆子萌是犧牲自己拯救了地球，非常合理,2020-06-21 01:11
Kyle柱平,戴斯蒙是自己选择的，牺牲了自己拯救了人类，死得也算英雄，唯一不爽的就是尸体被Abstergo拉回去解剖了,2020-06-21 04:42
cuagian30,你觉得呢,2020-06-21 07:01
一脸阿库娅zero,戴斯蒙能好点吧，我觉得要类比也是老色鬼最后放过了切萨雷,2020-06-21 08:29
保护色度,爱德华的死也许更符合？游戏里疯狂无双结果被小兵捅死,2020-06-21 08:30
Thelongworf,戴斯蒙死后刺客信条现代剧情感觉一塌糊涂,2020-06-21 08:47
伦飒,硬要类比的话全系列也只有蕾拉痛杀毕博可以相提并论（但毕博只是队友，不是前代主角）,2020-06-21 09:18
浪天影,不是应该问刺客信条2艾吉奥最后一刻放弃刺杀教皇吗？,2020-06-21 10:45
可靠的水经注,楼上说对了，刺客2，艾吉奥放弃杀教皇才是,2020-06-21 10:54
super呦呵,兄弟会，西泽尔杀了艾吉奥叔叔炸了他庄园，结果艾吉奥最后杀了一片圣殿唯独放过西泽尔选择原谅,2020-06-21 11:21
保护色度,三代，康纳杀死海尔森以后追上李然后放过了他,2020-06-21 11:26
卡比87,因为戴斯蒙不是这样死的,2020-06-21 13:07
土耳其骆驼客,相比之下我一代炮王马拉卡把权杖给了**蕾拉然后死去，虽然剧情上说得过去，但是蕾拉那个人设我是接受不来,2020-06-21 13:28
三色_Sanse,戴斯蒙虽说也是深受喜爱的前作主角，但他死的时候也不像老乔一样唐突又憋屈啊……根本是八竿子打不到一起的死法,2020-06-21 16:07
愿中华一片晴空,呆子萌死得像个英雄,2020-06-21 16:27
不花心的里昂,,2020-06-21 16:28
陆先生的传奇,二代艾莉可能就是，你挥剑的样子像个男人，但是你说话像个孩子，这种,2020-06-21 18:34
缘起流殇,最近贴吧都是这些，虽然我不玩，但是也大致了解了,2020-06-21 18:51
kurumi爱吐槽,你还不如说蕾拉哈桑一棍子打死医生以后听到能进亚特兰蒂斯了高兴的说句黑喂狗那段（所以蕾拉什么时候死）,2020-06-21 19:16
快乐我自知9527,戴斯蒙自己最后也算是英雄，而且我觉得美末2对1代玩家造成极大伤害。乔尔的塑造太好了，至少我心中和亚瑟一样好。一代感情有多深，二代伤害有多大,2020-06-21 19:30
金胖胖將軍,不一样，戴斯蒙是为了牺牲小我保全大我，美末2就成了 Zzzq缝合怪，死的和奥尔加团长一样怪,2020-06-21 19:47
吾名为秀,可以和远哭5比一下，那结局真的是……还好心曙光能杀那个神棍,2020-06-21 20:24
I虚无黑翼大魔I,戴斯蒙好点啊,2020-06-21 21:31
Hooligans_500,我的记忆里面怎么是：没人关心呆死萌，因为很多人并不关心现代剧情？直到后来蕾拉出来了才想起来呆死萌的好？,2020-06-21 21:55
